DatabaseName,ParentSchema,ParentTable,ColumnName,ColumnOrder,DataType,ColumnSize,ConstraintType,ChildSchema,ChildTable,ChildColumn
fixflow,public,cache,key,1,character varying,255,PRIMARY KEY,,,
fixflow,public,cache,value,2,text,,,,,
fixflow,public,cache,expiration,3,bigint,,,,,
fixflow,public,cache_locks,key,1,character varying,255,PRIMARY KEY,,,
fixflow,public,cache_locks,owner,2,character varying,255,,,,
fixflow,public,cache_locks,expiration,3,bigint,,,,,
fixflow,public,failed_jobs,id,1,bigint,,PRIMARY KEY,,,
fixflow,public,failed_jobs,uuid,2,character varying,255,UNIQUE,,,
fixflow,public,failed_jobs,connection,3,character varying,255,,,,
fixflow,public,failed_jobs,queue,4,character varying,255,,,,
fixflow,public,failed_jobs,payload,5,text,,,,,
fixflow,public,failed_jobs,exception,6,text,,,,,
fixflow,public,failed_jobs,failed_at,7,timestamp without time zone,,,,,
fixflow,public,invoices,id,1,bigint,,PRIMARY KEY,,,
fixflow,public,invoices,invoice_number,2,character varying,255,UNIQUE,,,
fixflow,public,invoices,repair_request_id,3,bigint,,FOREIGN KEY,public,repair_requests,id
fixflow,public,invoices,repair_request_id,3,bigint,,UNIQUE,,,
fixflow,public,invoices,user_id,4,bigint,,FOREIGN KEY,public,users,id
fixflow,public,invoices,service_charge,5,numeric,,,,,
fixflow,public,invoices,parts_cost,6,numeric,,,,,
fixflow,public,invoices,discount,7,numeric,,,,,
fixflow,public,invoices,total,8,numeric,,,,,
fixflow,public,invoices,payment_status,9,character varying,255,,,,
fixflow,public,invoices,created_at,10,timestamp without time zone,,,,,
fixflow,public,invoices,updated_at,11,timestamp without time zone,,,,,
fixflow,public,invoices,payment_method,12,character varying,255,,,,
fixflow,public,invoices,stripe_checkout_session_id,13,character varying,255,,,,
fixflow,public,invoices,stripe_payment_intent_id,14,character varying,255,,,,
fixflow,public,invoices,paid_at,15,timestamp without time zone,,,,,
fixflow,public,job_batches,id,1,character varying,255,PRIMARY KEY,,,
fixflow,public,job_batches,name,2,character varying,255,,,,
fixflow,public,job_batches,total_jobs,3,integer,,,,,
fixflow,public,job_batches,pending_jobs,4,integer,,,,,
